epoch,n, train_loss, valid_loss
63,1, 433.4875186157, 2590.1662304688,
63,2, 482.2151812744, 337.4416290283,
63,3, 371.2221765137, 716.2555932617,
63,4, 348.4862667847, 417.0831103516,
64,0, 435.9914892578, 301.8648461914,
64,1, 474.9665490723, 1820.7574755859,
64,2, 352.3314526367, 312.9811047363,
64,3, 362.1759100342, 188.2741040039,
64,4, 509.8940911865, 1184.0681298828,
65,0, 396.0687298584, 356.7263964844,
65,1, 406.3916119385, 229.3836944580,
65,2, 432.6871087646, 1389.7316552734,
65,3, 464.9906451416, 168.3244894409,
65,4, 361.5288037109, 910.7658349609,
66,0, 431.9052752686, 180.8737487793,
66,1, 381.8960131836, 195.2044244385,
66,2, 366.6392462158, 948.1071948242,
66,3, 355.5533062744, 185.6928051758,
66,4, 408.0547003174, 849.0600781250,
67,0, 542.7889916992, 480.2392272949,
67,1, 409.2053393555, 348.4535119629,
67,2, 484.2625146484, 352.0816326904,
67,3, 377.4412646484, 354.9581091309,
67,4, 414.2432507324, 222.4429394531,
68,0, 391.3724285889, 354.3585925293,
68,1, 394.9512225342, 1140.4276074219,
68,2, 381.7794647217, 117.1269897461,
68,3, 330.5241973877, 2253.9592041016,
68,4, 445.9757397461, 168.5224832153,
69,0, 319.7016546631, 288.4296411133,
69,1, 387.5675509644, 151.7157418823,
69,2, 306.0621923828, 680.5120104980,
69,3, 394.2520996094, 916.4078149414,
69,4, 361.3639544678, 160.9454730225,
70,0, 456.9305139160, 334.2103991699,
70,1, 426.9407971191, 122.0672665405,
70,2, 496.7027276611, 204.6118017578,
70,3, 387.8349291992, 578.9747131348,
70,4, 481.1221453857, 1639.9984033203,
71,0, 381.1633251953, 169.0189447021,
71,1, 341.6931002808, 156.8158517456,
71,2, 538.2214990234, 868.2699707031,
71,3, 555.7391064453, 1972.2230419922,
71,4, 456.6649060059, 242.2022259521,
72,0, 366.3924511719, 402.9329919434,
72,1, 336.3242187500, 278.7431091309,
72,2, 370.9605130005, 487.8369995117,
72,3, 380.9467102051, 845.2680834961,
72,4, 410.7443731689, 487.5877050781,
73,0, 299.7878320312, 124.8311511230,
73,1, 271.2522131348, 145.6857766724,
73,2, 300.2994903564, 164.2322930908,
73,3, 346.6278097534, 217.0480737305,
73,4, 428.4408929443, 289.3096441650,
74,0, 369.0352276611, 514.0102966309,
74,1, 316.3860314941, 223.9764562988,
74,2, 429.8552001953, 927.4668701172,
74,3, 367.7429583740, 166.4903540039,
74,4, 315.9852319336, 140.1476263428,
75,0, 277.5768136597, 169.2823553467,
75,1, 394.9962292480, 378.5476708984,
