52	405.021	130	441.719	511	348.27	1300	861.346
79	314.266	377	332.226	697	341.4	1500	413.571
71	513.179	573	603.141	1099	644.65	1700	713.263
103	241.591	423	259.8	783	270.878	1700	304.041
43	308.246	93	360.473	426	309.21	1000	697.296
64	568.757	527	637.572	1032	498.049	1700	571.94
79	246.236	320	292.559	601	292.275	1300	520.444
65	268.614	160	312.712	525	249.234	1700	792.982
88	207.304	328	210.6	670	218.488	1500	212.121
93	322.932	403	352.274	732	366.821	1600	266.705
77	531.654	267	551.063	606	561.657	1500	509.259
80	640.357	431	725.995	901	703.68	1700	1576.45
53	296.139	126	342.63	460	290.343	1200	755.471
99	161.192	385	174.132	723	178.323	1500	230.759
66	509.583	504	560.507	931	590.155	1600	685.159
60	608.178	548	687.691	960	728.052	1500	801.067
79	293.074	403	314.488	749	328.028	1600	348.548
72	757.824	561	966.846	997	1021.68	1600	1114.27
84	490.286	348	594.374	726	618.036	1500	675.01
55	431.604	409	478.358	968	527.44	1500	522.298
61	385.989	308	430.002	816	399.477	1400	641.793
72	653.436	525	717.356	962	756.903	1700	829.38
95	298.292	373	362.119	679	373.581	1700	410.589
65	381.874	385	418.349	748	439.959	1400	485.585
87	153.281	304	178.082	634	165.929	1300	378.175
113	335.657	355	360.895	661	362.474	1600	745.291
69	392.29	368	416.1	712	429.768	1400	469.777
82	187.547	205	194.851	553	136.58	1500	454.412
56	225.489	395	246.413	741	261.119	1300	284.89
64	285.407	299	343.325	951	369.02	1600	396.576
50	529.928	335	683.938	667	709.269	1200	770.07
79	499.008	449	541.575	928	536.014	1700	570.221
76	362.626	455	401.228	928	194.575	1700	660.315
56	523.735	157	563.059	609	512.087	1400	1038.94
84	171.034	287	193.285	573	182.103	1300	485.18
81	449.32	269	566.71	639	583.783	1400	614.039
52	309.748	317	337.012	638	351.882	1200	380.369
69	349.985	175	389.387	605	297.322	1500	867.644
62	559.653	388	606.21	723	609.703	1400	640.503
73	533.905	521	620.347	980	655.102	1500	719.467
72	742.323	595	856.149	1070	909.389	1700	1022.77
40	502.173	128	546.642	540	499.73	1100	890.576
51	248.303	480	276.376	961	297.495	1400	320.281
92	297.711	446	356.904	832	370.327	1600	465.803
72	681.5	175	733.542	666	616.559	1600	1580.35
88	181.405	354	196.619	685	204.691	1400	223.881
61	623.565	261	695.86	760	635.909	1500	1448.18
78	429.365	526	482.84	993	507.097	1600	568.21
75	303.971	154	332.465	569	260.836	1600	861.543
62	293.007	341	332.111	684	350.951	1300	392.16
54	594.252	370	679.27	820	724.735	1400	773.381
65	377.371	166	411.986	513	329.183	1500	988.209
66	366.122	391	409.184	736	432.043	1300	472.583
