epoch,n, train_loss, valid_loss
46,1, 626.3889514160, 666.6443579102,
46,2, 574.4320825195, 423.9848980713,
46,3, 527.9657385254, 332.2025634766,
46,4, 557.8213568115, 1086.2203076172,
47,0, 564.2433264160, 2679.7533789062,
47,1, 629.3253222656, 1074.4536035156,
47,2, 626.2671722412, 377.8573864746,
47,3, 777.7346679688, 1186.9599365234,
47,4, 451.7730407715, 2250.6356201172,
48,0, 521.6452093506, 910.1903979492,
48,1, 486.2391992188, 314.6031500244,
48,2, 497.2379382324, 272.5525231934,
48,3, 457.2190655518, 294.2198297119,
48,4, 491.5429602051, 1700.5730517578,
49,0, 606.9221051025, 1197.6480737305,
49,1, 510.0492681885, 191.8203533936,
49,2, 560.5861718750, 591.2659191895,
49,3, 519.6814831543, 629.3492370605,
49,4, 549.5820648193, 3534.7808984375,
50,0, 538.6728070068, 400.4264721680,
50,1, 507.8704266357, 232.6337475586,
50,2, 570.6811602783, 407.0731628418,
50,3, 410.9407568359, 475.8760485840,
50,4, 480.9759954834, 744.5470166016,
51,0, 519.5729144287, 929.4106079102,
51,1, 630.4283691406, 1302.1974218750,
51,2, 451.8210418701, 743.1012377930,
51,3, 405.3691107178, 615.3556628418,
51,4, 432.6010308838, 586.8689038086,
52,0, 419.5897900391, 293.8417926025,
52,1, 538.5002636719, 1436.0007617188,
52,2, 460.9629541016, 1383.7917919922,
52,3, 525.8972033691, 570.0887500000,
52,4, 577.6776800537, 2675.3349121094,
53,0, 688.2467614746, 815.1691064453,
53,1, 549.7424133301, 809.8023120117,
53,2, 468.5767065430, 294.0036596680,
53,3, 513.1997534180, 662.0080126953,
53,4, 501.7562377930, 827.2061157227,
54,0, 344.9422369385, 437.4256848145,
54,1, 366.8053106689, 312.8079016113,
54,2, 424.1387310791, 226.8513732910,
54,3, 427.5608020020, 526.0941711426,
54,4, 430.7527142334, 410.5613122559,
55,0, 356.4961120605, 682.4800891113,
55,1, 408.5692858887, 456.5940417480,
55,2, 450.6892236328, 460.3130053711,
55,3, 350.3072967529, 516.7240991211,
55,4, 412.8958758545, 392.9298016357,
56,0, 476.7361621094, 1570.7469921875,
56,1, 518.3591705322, 409.9617187500,
56,2, 439.2231591797, 1787.2875488281,
56,3, 454.3299468994, 245.1840228271,
56,4, 617.6164538574, 1872.4601562500,
57,0, 582.6176196289, 531.2380883789,
57,1, 497.6735491943, 811.4106542969,
57,2, 541.6815863037, 742.1130981445,
57,3, 537.7761468506, 284.0704028320,
57,4, 460.5704943848, 1488.8195068359,
58,0, 470.9952996826, 1176.8115283203,
58,1, 299.2412432861, 677.3991613770,
58,2, 432.0157568359, 239.3963879395,
58,3, 362.8483886719, 298.8155285645,
58,4, 361.8018945313, 1959.3501904297,
59,0, 405.7758856201, 325.4846887207,
59,1, 379.5438793945, 657.1601147461,
59,2, 459.7637200928, 329.7523742676,
59,3, 312.1034771729, 392.5084985352,
59,4, 385.8600805664, 735.9367089844,
60,0, 420.3217785645, 529.7346801758,
60,1, 487.8559014893, 1303.9318041992,
60,2, 481.6873571777, 507.2065209961,
60,3, 371.1398944092, 1600.7573925781,
60,4, 470.6289990234, 521.0217614746,
61,0, 515.8570812988, 706.1574389648,
61,1, 413.8206488037, 456.0808496094,
61,2, 333.1740277100, 649.7428344727,
61,3, 361.2696368408, 675.0482922363,
61,4, 338.3111254883, 236.6998150635,
62,0, 349.1128930664, 1103.6853808594,
62,1, 367.5371710205, 1137.7319384766,
62,2, 558.8340875244, 258.1871441650,
62,3, 401.7434423828, 823.1194824219,
62,4, 388.0549145508, 997.9521679688,
63,0, 368.2656915283, 1071.7876123047,
63,1, 339.8538677979, 1330.3962792969,
63,2, 378.1028039551, 745.5312329102,
63,3, 466.7884094238, 223.3611853027,
63,4, 412.1175085449, 687.5452868652,
64,0, 387.8097851562, 1229.2924340820,
64,1, 362.1394830322, 181.6033489990,
64,2, 494.8151892090, 1691.8545166016,
64,3, 326.9024261475, 402.5545483398,
64,4, 371.2847308350, 832.3702343750,
65,0, 429.0019787598, 327.2820410156,
65,1, 363.6260968018, 1032.2039501953,
65,2, 404.0419299316, 432.8341015625,
65,3, 513.1261236572, 2633.0267675781,
65,4, 490.1436627197, 1730.0262890625,
66,0, 468.9098138428, 462.4503564453,
66,1, 291.9165164185, 210.4301190186,
66,2, 289.2964526367, 595.6376696777,
66,3, 283.6633050537, 509.5981115723,
66,4, 398.8860931396, 536.5139782715,
67,0, 508.5644714355, 1396.8787207031,
67,1, 355.7247497559, 558.7419506836,
67,2, 322.0094177246, 191.2786657715,
67,3, 341.3684362793, 202.2227691650,
67,4, 455.5064007568, 1997.6930468750,
68,0, 373.7743530273, 588.6506140137,
68,1, 340.2037744141, 1009.6529833984,
68,2, 304.5051339722, 1241.3726635742,
68,3, 401.3694943237, 424.4005139160,
68,4, 450.2066723633, 225.9364660645,
69,0, 711.2728601074, 859.7599340820,
69,1, 460.1560980225, 944.2118487549,
69,2, 532.5636892700, 363.8380944824,
69,3, 562.3519696045, 512.6984472656,
69,4, 765.9165893555, 9581.9052539063,
70,0, 589.1520410156, 1730.5977539063,
70,1, 422.9088992310, 159.6112020874,
70,2, 457.3788800049, 1737.4857714844,
70,3, 449.6603198242, 1155.9073022461,
70,4, 343.7052770996, 701.8124157715,
71,0, 458.8660745239, 298.2474505615,
71,1, 384.3490344238, 321.3787786865,
71,2, 428.1383285522, 629.8090344238,
71,3, 439.1556701660, 693.8515405273,
71,4, 352.5218847656, 410.5284857178,
72,0, 266.5012689209, 1138.7989941406,
72,1, 343.1668002319, 563.1477209473,
72,2, 290.6878472900, 638.6124902344,
72,3, 303.1347177124, 546.2551953125,
72,4, 279.4396127319, 825.9543090820,
73,0, 334.5042407227, 214.9473382568,
73,1, 241.4043301392, 184.7645321655,
73,2, 311.8626232910, 1044.4021508789,
73,3, 457.1062219238, 212.2301879883,
73,4, 363.4494329834, 532.2822949219,
74,0, 371.4788418579, 618.6478417969,
74,1, 344.3757714844, 320.9535485840,
74,2, 317.5274713135, 166.8021127319,
74,3, 324.0935827637, 218.6646704102,
74,4, 244.9632525635, 117.7261001587,
75,0, 319.8935784912, 393.0649072266,
75,1, 260.6421517944, 268.1684564209,
75,2, 310.0771920776, 242.6605151367,
75,3, 345.7880133057, 459.9291760254,
75,4, 288.0577691650, 409.2796765137,
76,0, 263.8839062500, 129.6751312256,
76,1, 314.6282226562, 1102.1982153320,
76,2, 350.4152685547, 740.6138281250,
76,3, 522.6882220459, 450.7036401367,
76,4, 370.6617718506, 219.0087457275,
77,0, 263.7729394531, 122.6468371582,
77,1, 235.4541180420, 481.9795886230,
77,2, 203.2080459595, 91.8871684265,
77,3, 245.2886578369, 826.4502563477,
77,4, 255.4124508667, 1299.4546728516,
78,0, 294.5988146973, 567.9879382324,
78,1, 261.9714450073, 189.9648019409,
78,2, 291.9358227539, 478.3515795898,
78,3, 319.0161669922, 208.1736737061,
78,4, 239.3249917603, 872.5883984375,
79,0, 239.7060562134, 153.1831494141,
79,1, 229.7127981567, 106.7833572388,
79,2, 247.6934594727, 903.4609472656,
